user_id,order_number,product_id
1,14,1144
1,14,3374
1,14,40
1,14,44
2,16,9
2,16,145
2,16,5
2,16,125
2,16,1357
2,16,50
3,10,3771
3,10,1335
3,10,3219
3,10,1965
3,10,7106
3,10,152
3,10,4279
4,15,3551
4,15,361
4,15,4605
4,15,3462
4,15,224
5,15,266
5,15,50
5,15,4919
5,15,40
6,8,1638
6,8,4074
6,8,1158
6,8,296
6,8,464
6,8,302
6,8,1
6,8,11996
7,5,9179
7,5,2516
8,27,2140
8,27,346
8,27,1507
9,20,610
9,20,2548
10,25,554
10,25,536
11,45,11754
12,8,9771
13,12,9
13,12,783
14,36,44
14,36,6248
15,8,50
15,8,183
15,8,1377
15,8,892
15,8,1381
15,8,9043
15,8,901
15,8,7678
15,8,9170
15,8,4694
15,8,2451
16,14,5544
16,14,1973
16,14,5663
16,14,2316
16,14,2968
16,14,7621
16,14,2649
16,14,9
17,12,956
17,12,6161
17,12,3088
17,12,976
18,9,997
18,9,4150
18,9,375
18,9,998
18,9,1000
18,9,990
18,9,11884
18,9,9017
18,9,8465
18,9,3253
18,9,399
18,9,5317
18,9,1831
19,19,1245
19,19,2478
19,19,4145
20,24,4715
20,24,3171
20,24,1775
21,6,1813
21,6,1325
21,6,2348
21,6,3534
22,16,1208
22,16,724
23,21,635
23,21,3077
23,21,1117
23,21,11755
23,21,50
23,21,11027
23,21,2133
24,13,4101
24,13,409
25,15,721
25,15,387
25,15,494
26,14,2883
26,14,1750
26,14,1392
26,14,10203
26,14,2264
27,31,3771
28,7,135
28,7,8357
28,7,195
28,7,1474
29,20,50
30,13,488
30,13,1481
30,13,1427
30,13,118
30,13,1573
31,26,2118
31,26,2915
31,26,1638
32,11,289
32,11,904
32,11,535
32,11,288
32,11,10069
32,11,2875
33,11,1702
33,11,1682
33,11,719
33,11,989
34,24,748
34,24,3039
34,24,8115
34,24,8523
34,24,121
35,16,1159
35,16,1562
35,16,3198
35,16,121
36,24,1590
36,24,777
37,5,1689
37,5,182
38,7,5370
38,7,537
38,7,1319
38,7,724
40,26,1826
41,10,2037
41,10,3574
41,10,2085
41,10,986
41,10,2157
42,23,2211
42,23,412
42,23,406
42,23,721
43,27,2201
43,27,697
43,27,1208
43,27,8491
44,6,1495
45,5,441
45,5,1638
45,5,1844
46,4,6133
46,4,3703
46,4,9145
46,4,9086
46,4,2418
46,4,8276
46,4,2538
46,4,3150
46,4,3882
47,18,3221
47,18,8347
47,18,9778
47,18,762
47,18,7369
48,9,61
48,9,6163
48,9,1058
48,9,3212
48,9,106
48,9,10252
48,9,2316
48,9,347
48,9,166
48,9,2353
48,9,5090
48,9,117
48,9,11921
48,9,5118
48,9,3343
48,9,394
48,9,4471
48,9,279
48,9,2233
48,9,9113
48,9,77
48,9,719
48,9,7157
48,9,1578
48,9,470
48,9,874
48,9,3188
49,18,7582
49,18,721
49,18,10043
49,18,665
49,18,2804
49,18,2363
50,27,11431
50,27,106
51,48,50
51,48,1595
51,48,797
51,48,494
51,48,1217
51,48,488
52,11,721
52,11,3211
52,11,2490
52,11,234
53,23,931
53,23,2527
53,23,1322
53,23,195
54,14,721
54,14,2398
55,20,1597
55,20,819
55,20,1065
56,19,231
56,19,50
57,24,10369
57,24,11967
57,24,1474
57,24,1965
57,24,50
57,24,10016
58,5,6731
58,5,1095
58,5,2666
58,5,456
58,5,1127
58,5,6736
58,5,3794
58,5,1495
58,5,5565
58,5,7264
58,5,2673
58,5,2495
58,5,1163
58,5,4559
59,5,5102
59,5,2676
60,9,2628
60,9,259
60,9,2452
60,9,1656
60,9,952
60,9,5823
60,9,9978
60,9,3070
62,8,5038
62,8,2826
62,8,721
62,8,5720
62,8,412
62,8,2087
62,8,3692
62,8,417
63,28,11672
63,28,2000
63,28,3518
63,28,1944
64,18,915
64,18,7632
64,18,9
64,18,438
64,18,154
64,18,50
64,18,2357
65,9,119
65,9,4852
65,9,1440
65,9,2751
65,9,2660
65,9,597
65,9,4322
65,9,50
65,9,10917
65,9,2893
65,9,2124
65,9,214
65,9,1415
65,9,1654
66,23,13
66,23,902
66,23,9478
66,23,5307
66,23,1896
66,23,1300
67,21,2347
67,21,369
67,21,8090
67,21,3714
67,21,6473
67,21,1273
67,21,1109
67,21,6306
67,21,1297
67,21,1803
67,21,426
67,21,775
67,21,2103
67,21,6999
67,21,4442
67,21,1543
67,21,8174
67,21,2082
67,21,1820
67,21,1929
67,21,1245
67,21,2433
68,10,127
68,10,728
68,10,6991
69,19,3100
69,19,10708
69,19,3095
70,14,8110
70,14,5488
70,14,7445
71,5,50
72,41,3547
72,41,4359
72,41,536
72,41,2109
72,41,1966
73,9,110
73,9,9
75,22,3683
76,17,742
77,36,1319
77,36,143
77,36,368
77,36,65
77,36,52
77,36,2310
78,7,1155
79,26,4916
79,26,3667
80,5,343
80,5,4983
81,11,6506
82,33,911
82,33,2766
82,33,8163
82,33,149
82,33,2579
82,33,3233
82,33,493
82,33,1221
82,33,110
82,33,2530
82,33,603
82,33,3401
82,33,1062
82,33,3275
82,33,5467
82,33,1882
82,33,3852
83,25,2423
83,25,525
83,25,5789
83,25,4921
83,25,102
83,25,4328
83,25,3370
83,25,3794
84,8,3281
84,8,9436
84,8,11379
85,10,238
85,10,403
85,10,2515
85,10,505
85,10,5225
85,10,6810
85,10,2237
86,8,50
86,8,1530
87,8,805
87,8,6162
87,8,952
87,8,318
87,8,9290
87,8,7233
87,8,3693
88,27,44
88,27,1427
88,27,426
88,27,53
89,14,50
89,14,40
89,14,5174
90,19,1
91,13,1296
91,13,7992
91,13,4191
91,13,10857
91,13,3591
92,14,5430
92,14,490
93,16,8015
93,16,9666
93,16,843
94,15,50
94,15,7437
94,15,564
94,15,5714
94,15,3645
94,15,182
94,15,143
94,15,5236
94,15,563
94,15,107
94,15,1079
94,15,72
94,15,8702
94,15,5786
95,11,2405
95,11,2140
95,11,8480
95,11,6166
95,11,50
96,12,8006
96,12,2563
96,12,647
97,7,8629
97,7,13
97,7,819
97,7,318
98,6,40
98,6,1648
98,6,50
99,32,145
100,43,1120
100,43,10914
