product_id,count
46,34591
7,26401
141,18134
135,17909
39,15127
27,13353
385,11809
34,10980
259,10474
20,8998
18,8654
146,8164
901,8053
481,8002
204,7498
214,7360
864,6642
226,6084
190,6064
472,6012
22,5983
995,5782
439,5748
242,5688
155,5635
225,5634
188,5561
265,5495
14,5462
29,5306
295,5297
273,5270
179,5251
351,5213
107,5049
177,4972
393,4946
43,4758
497,4644
248,4552
630,4526
181,4510
1369,4452
597,4434
523,4384
408,4359
395,4357
16,4283
1461,4255
1006,4222
154,4130
1295,4096
158,4079
2348,4046
101,4027
1225,3751
360,3724
387,3662
626,3633
852,3629
85,3569
1875,3489
200,3484
114,3471
115,3467
498,3438
207,3309
2294,3264
368,3187
426,3183
199,3167
197,3145
1255,3087
257,3013
26,2981
111,2980
1486,2972
279,2854
641,2818
1470,2806
261,2803
423,2798
288,2759
1341,2692
120,2677
1276,2651
0,2642
36,2639
287,2612
12,2593
294,2587
53,2564
97,2558
1389,2546
1431,2498
144,2490
500,2482
1015,2462
156,2448
493,2443
353,2439
390,2430
198,2333
2572,2316
290,2289
826,2279
228,2275
1955,2257
1020,2255
352,2244
236,2236
1246,2228
1473,2167
1364,2159
2035,2138
201,2136
518,2099
75,2089
65,2080
421,2080
347,2075
1575,2069
649,2037
1529,2028
1970,2012
1029,2011
142,1981
425,1981
1012,1968
639,1952
1235,1949
175,1936
232,1936
209,1933
187,1888
2074,1887
1309,1873
64,1873
1598,1872
3110,1867
377,1859
805,1837
170,1828
2601,1812
1124,1803
2608,1773
1675,1762
153,1754
2080,1754
284,1734
910,1726
791,1720
1477,1717
286,1714
380,1713
1120,1710
3400,1676
9,1659
79,1653
437,1648
731,1641
174,1615
1371,1596
269,1595
2591,1590
479,1586
1424,1585
1091,1579
1051,1577
66,1559
420,1549
211,1543
2461,1531
2352,1529
874,1527
1485,1519
2027,1514
2103,1485
427,1484
350,1483
400,1482
102,1479
2228,1477
3075,1473
275,1468
1366,1466
645,1450
2674,1437
3574,1435
246,1431
3996,1424
489,1417
67,1416
3285,1414
340,1413
370,1412
2192,1407
289,1401
3512,1398
2305,1396
1730,1392
1282,1391
912,1388
416,1388
2659,1375
1230,1373
266,1373
277,1368
1859,1362
496,1362
1376,1357
374,1356
69,1355
476,1343
729,1340
2189,1337
1358,1327
1407,1310
730,1307
2822,1304
1361,1304
2042,1302
1405,1299
1750,1288
1005,1286
332,1279
152,1275
308,1273
398,1270
2194,1269
1239,1255
1733,1255
625,1242
331,1238
1018,1237
2428,1236
460,1234
391,1234
4341,1231
870,1231
2443,1225
5653,1224
2020,1220
2715,1217
431,1215
2482,1214
3392,1210
2893,1209
100,1205
954,1195
1790,1194
1782,1193
1188,1189
1836,1189
311,1188
2583,1181
2005,1179
334,1167
359,1164
821,1160
516,1154
2252,1154
1308,1147
3387,1147
2880,1144
792,1142
471,1141
835,1138
357,1137
1269,1136
736,1134
2584,1134
1699,1131
2,1122
865,1122
1083,1121
2322,1120
267,1116
1314,1114
63,1113
1335,1110
1926,1107
623,1103
1484,1096
1140,1094
1296,1088
389,1084
51,1083
1317,1081
4122,1080
2847,1078
1571,1071
392,1070
1019,1064
413,1064
3185,1063
178,1056
148,1055
2681,1052
2569,1052
1028,1047
800,1045
576,1043
2547,1042
1313,1039
314,1038
1768,1038
2562,1033
632,1032
1472,1031
355,1028
1731,1026
399,1026
3534,1024
1667,1020
1595,1014
1038,1014
382,1011
138,997
205,996
1930,995
1352,995
1081,991
3517,983
2385,983
1689,981
3101,979
1877,978
2031,976
1693,972
3024,972
2258,966
319,963
1305,963
3081,958
863,954
10,954
401,953
478,953
647,950
2115,949
1972,945
1281,943
1941,939
2745,939
627,936
210,932
2518,931
648,931
544,931
646,930
145,929
110,929
1767,924
2623,924
125,923
172,921
757,919
371,919
1588,918
3532,916
7325,913
4575,913
1570,912
1360,912
871,912
1698,906
520,905
491,903
1947,900
455,899
1536,899
634,898
1408,895
2739,895
49,893
2494,891
194,888
1864,887
1631,887
2857,879
